run,graph,num_nodes,num_edges,avg_degree,ms_t1,ms_t2,ms_t4,ms_t8,ms_t16,ms_t32,mteps_t1,mteps_t2,mteps_t4,mteps_t8,mteps_t16,mteps_t32,speedup_t2,speedup_t4,speedup_t8,speedup_t16,speedup_t32
4,chesapeake,39,340,8.71795,244.698,0.173807,0.1514,0.152912,0.150595,0.15237,0.00138947,1.95619,2.24571,2.2235,2.25771,2.23141,1407.87,1616.24,1600.25,1624.87,1605.95
4,hollywood-2009,1139905,113891327,99.913,116.626,114.077,103.867,103.635,103.533,103.655,976.551,998.373,1096.51,1098.97,1100.05,1098.75,1.02235,1.12284,1.12536,1.12646,1.12513
4,ldoor,952203,46522475,48.8577,74.688,74.3895,75.7185,60.3869,60.4845,59.9849,622.891,625.39,614.413,770.407,769.163,775.57,1.00401,0.986391,1.23683,1.23483,1.24511
4,roadNet-CA,1971281,5533214,2.80691,112.754,112.222,111.437,111.443,111.465,112.176,49.0732,49.3058,49.6532,49.6504,49.6406,49.326,1.00474,1.01182,1.01176,1.01156,1.00515
4,chesapeake,39,340,8.71795,237.817,0.190811,0.178853,0.173534,0.161728,0.154917,0.00142967,1.78187,1.901,1.95927,2.1023,2.19472,1246.35,1329.68,1370.43,1470.47,1535.12
4,hollywood-2009,1139905,113891327,99.913,117.319,109.05,104.832,103.832,103.932,103.907,970.782,1044.4,1086.42,1096.88,1095.83,1096.09,1.07583,1.11912,1.12989,1.12881,1.12908
4,ldoor,952203,46522475,48.8577,75.3883,74.7423,65.0891,64.6435,64.493,58.1858,617.105,622.439,714.751,719.677,721.356,799.551,1.00864,1.15823,1.16622,1.16894,1.29565
4,roadNet-CA,1971281,5533214,2.80691,101.327,112.042,100.524,95.9086,96.0228,95.7263,54.6076,49.3853,55.0437,57.6926,57.624,57.8024,0.904366,1.00799,1.05649,1.05524,1.0585
4,chesapeake,39,340,8.71795,240.956,0.158745,0.151202,0.173159,0.161456,0.148736,0.00141105,2.1418,2.24865,1.96351,2.10584,2.28593,1517.88,1593.6,1391.53,1492.39,1620.03
4,hollywood-2009,1139905,113891327,99.913,116.339,114.899,104.293,104.54,103.447,103.701,978.957,991.232,1092.04,1089.46,1100.97,1098.27,1.01254,1.11551,1.11287,1.12463,1.12187
4,ldoor,952203,46522475,48.8577,74.9576,69.767,69.668,69.7773,58.0016,57.7806,620.651,666.826,667.774,666.728,802.089,805.158,1.0744,1.07593,1.07424,1.29234,1.29728
4,roadNet-CA,1971281,5533214,2.80691,95.7653,94.7637,94.6492,94.5408,94.7184,94.9053,57.7789,58.3896,58.4602,58.5272,58.4175,58.3025,1.01057,1.01179,1.01295,1.01105,1.00906
5,chesapeake,39,340,8.71795,0.345923,0.163192,0.157788,0.155914,0.155919,0.15393,0.982878,2.08344,2.15479,2.18069,2.18062,2.2088,2.11973,2.19233,2.21868,2.21861,2.24727
5,hollywood-2009,1139905,113891327,99.913,90.3388,90.4606,83.039,79.7167,80.5499,77.3729,1260.71,1259.02,1371.54,1428.7,1413.92,1471.98,0.998654,1.08791,1.13325,1.12153,1.16758
5,ldoor,952203,46522475,48.8577,73.3171,71.1697,71.4994,71.1917,60.0109,55.0957,634.538,653.684,650.669,653.482,775.234,844.393,1.03017,1.02542,1.02985,1.22173,1.33072
5,roadNet-CA,1971281,5533214,2.80691,161.365,148.123,99.2345,97.3261,89.7542,89.3156,34.29,37.3555,55.759,56.8523,61.6485,61.9513,1.0894,1.6261,1.65799,1.79786,1.80669
5,chesapeake,39,340,8.71795,515.63,0.216025,0.191865,0.192021,0.189903,0.204457,0.000659388,1.57389,1.77208,1.77064,1.79039,1.66294,2386.9,2687.46,2685.28,2715.23,2521.95
5,hollywood-2009,1139905,113891327,99.913,117.779,116.256,105.529,104.854,104.571,104.446,966.995,979.66,1079.25,1086.19,1089.13,1090.43,1.0131,1.11608,1.12327,1.12631,1.12765
5,ldoor,952203,46522475,48.8577,75.1412,70.3386,69.2589,69.3512,58.3857,59.1922,619.134,661.408,671.718,670.824,796.813,785.956,1.06828,1.08493,1.08349,1.28698,1.26944
5,roadNet-CA,1971281,5533214,2.80691,165.073,119.884,105.433,95.7335,94.8136,94.8028,33.5198,46.1548,52.481,57.7981,58.3589,58.3655,1.37694,1.56567,1.7243,1.74103,1.74123
5,chesapeake,39,340,8.71795,244.698,0.173807,0.1514,0.152912,0.150595,0.15237,0.00138947,1.95619,2.24571,2.2235,2.25771,2.23141,1407.87,1616.24,1600.25,1624.87,1605.95
5,hollywood-2009,1139905,113891327,99.913,116.626,114.077,103.867,103.635,103.533,103.655,976.551,998.373,1096.51,1098.97,1100.05,1098.75,1.02235,1.12284,1.12536,1.12646,1.12513
5,ldoor,952203,46522475,48.8577,74.688,74.3895,75.7185,60.3869,60.4845,59.9849,622.891,625.39,614.413,770.407,769.163,775.57,1.00401,0.986391,1.23683,1.23483,1.24511
5,roadNet-CA,1971281,5533214,2.80691,112.754,112.222,111.437,111.443,111.465,112.176,49.0732,49.3058,49.6532,49.6504,49.6406,49.326,1.00474,1.01182,1.01176,1.01156,1.00515
5,chesapeake,39,340,8.71795,237.817,0.190811,0.178853,0.173534,0.161728,0.154917,0.00142967,1.78187,1.901,1.95927,2.1023,2.19472,1246.35,1329.68,1370.43,1470.47,1535.12
5,hollywood-2009,1139905,113891327,99.913,117.319,109.05,104.832,103.832,103.932,103.907,970.782,1044.4,1086.42,1096.88,1095.83,1096.09,1.07583,1.11912,1.12989,1.12881,1.12908
5,ldoor,952203,46522475,48.8577,75.3883,74.7423,65.0891,64.6435,64.493,58.1858,617.105,622.439,714.751,719.677,721.356,799.551,1.00864,1.15823,1.16622,1.16894,1.29565
5,roadNet-CA,1971281,5533214,2.80691,101.327,112.042,100.524,95.9086,96.0228,95.7263,54.6076,49.3853,55.0437,57.6926,57.624,57.8024,0.904366,1.00799,1.05649,1.05524,1.0585
5,chesapeake,39,340,8.71795,240.956,0.158745,0.151202,0.173159,0.161456,0.148736,0.00141105,2.1418,2.24865,1.96351,2.10584,2.28593,1517.88,1593.6,1391.53,1492.39,1620.03
5,hollywood-2009,1139905,113891327,99.913,116.339,114.899,104.293,104.54,103.447,103.701,978.957,991.232,1092.04,1089.46,1100.97,1098.27,1.01254,1.11551,1.11287,1.12463,1.12187
5,ldoor,952203,46522475,48.8577,74.9576,69.767,69.668,69.7773,58.0016,57.7806,620.651,666.826,667.774,666.728,802.089,805.158,1.0744,1.07593,1.07424,1.29234,1.29728
5,roadNet-CA,1971281,5533214,2.80691,95.7653,94.7637,94.6492,94.5408,94.7184,94.9053,57.7789,58.3896,58.4602,58.5272,58.4175,58.3025,1.01057,1.01179,1.01295,1.01105,1.00906
5,chesapeake,39,340,8.71795,240.832,0.181224,0.166318,0.155766,0.151978,0.150812,0.00141177,1.87613,2.04428,2.18276,2.23717,2.25446,1328.92,1448.02,1546.11,1584.65,1596.9
5,hollywood-2009,1139905,113891327,99.913,161.51,140.787,107.919,105.495,105.821,104.165,705.168,808.965,1055.34,1079.59,1076.26,1093.38,1.14719,1.49658,1.53096,1.52625,1.55052
5,ldoor,952203,46522475,48.8577,74.9151,74.4344,74.4264,60.9313,60.5326,60.4622,621.003,625.013,625.08,763.524,768.553,769.447,1.00646,1.00657,1.2295,1.2376,1.23904
5,roadNet-CA,1971281,5533214,2.80691,95.6676,94.8381,95.7975,95.6425,95.5291,95.0435,57.8379,58.3438,57.7595,57.8531,57.9218,58.2177,1.00875,0.998644,1.00026,1.00145,1.00657
6,chesapeake,39,340,8.71795,0.345923,0.163192,0.157788,0.155914,0.155919,0.15393,0.982878,2.08344,2.15479,2.18069,2.18062,2.2088,2.11973,2.19233,2.21868,2.21861,2.24727
6,hollywood-2009,1139905,113891327,99.913,90.3388,90.4606,83.039,79.7167,80.5499,77.3729,1260.71,1259.02,1371.54,1428.7,1413.92,1471.98,0.998654,1.08791,1.13325,1.12153,1.16758
6,ldoor,952203,46522475,48.8577,73.3171,71.1697,71.4994,71.1917,60.0109,55.0957,634.538,653.684,650.669,653.482,775.234,844.393,1.03017,1.02542,1.02985,1.22173,1.33072
6,roadNet-CA,1971281,5533214,2.80691,161.365,148.123,99.2345,97.3261,89.7542,89.3156,34.29,37.3555,55.759,56.8523,61.6485,61.9513,1.0894,1.6261,1.65799,1.79786,1.80669
6,chesapeake,39,340,8.71795,515.63,0.216025,0.191865,0.192021,0.189903,0.204457,0.000659388,1.57389,1.77208,1.77064,1.79039,1.66294,2386.9,2687.46,2685.28,2715.23,2521.95
6,hollywood-2009,1139905,113891327,99.913,117.779,116.256,105.529,104.854,104.571,104.446,966.995,979.66,1079.25,1086.19,1089.13,1090.43,1.0131,1.11608,1.12327,1.12631,1.12765
6,ldoor,952203,46522475,48.8577,75.1412,70.3386,69.2589,69.3512,58.3857,59.1922,619.134,661.408,671.718,670.824,796.813,785.956,1.06828,1.08493,1.08349,1.28698,1.26944
6,roadNet-CA,1971281,5533214,2.80691,165.073,119.884,105.433,95.7335,94.8136,94.8028,33.5198,46.1548,52.481,57.7981,58.3589,58.3655,1.37694,1.56567,1.7243,1.74103,1.74123
6,chesapeake,39,340,8.71795,244.698,0.173807,0.1514,0.152912,0.150595,0.15237,0.00138947,1.95619,2.24571,2.2235,2.25771,2.23141,1407.87,1616.24,1600.25,1624.87,1605.95
6,hollywood-2009,1139905,113891327,99.913,116.626,114.077,103.867,103.635,103.533,103.655,976.551,998.373,1096.51,1098.97,1100.05,1098.75,1.02235,1.12284,1.12536,1.12646,1.12513
